LATITUDE,LONGITUDE
38.91312049,-77.02270399
38.89099398,-76.93905053
38.87357416,-76.9691546
38.90291892,-77.01041165
38.91606444,-77.0180548
38.9399293,-77.07773812
38.90225131,-77.00326708
38.93931671,-77.03246468
38.87914754,-77.02269964
38.89440761,-76.91824315
38.92274433,-76.99930486
38.97208408,-77.03377381
38.86172507,-76.98120898
38.91511685,-77.022214
38.90576994,-77.06387793
38.90538424,-77.01074635
38.93063151,-76.97236958
38.90750811,-77.02665472
38.92954998,-77.02303861
38.92146622,-76.9766658
38.92511516,-77.02225829
38.87348298,-77.00959077
38.9053962,-76.97195347
38.95616753,-77.02282362
38.90974827,-76.98555943
38.94093514,-76.99353416
38.94093821,-76.99371134
38.92264063,-76.99088845
38.9613639,-77.03380553
38.93256829,-77.0729376
38.92161256,-77.03982572
38.95999251,-77.0293591
38.90523963,-76.92554027
38.90686138,-76.92764463
38.86395333,-76.97092526
38.89143595,-76.94431871
38.87162088,-76.97766702
38.92211163,-77.04161481
38.91779315,-77.00024504
38.85618092,-76.99124303
38.92407905,-77.02732885
38.84685873,-76.97229453
38.85698606,-76.99547895
38.90542213,-76.97340809
38.88299964,-76.99551649
38.92200724,-76.97597694
38.97375842,-77.01344159
38.90986244,-76.99699096
38.88512824,-76.97658974
38.87427627,-77.00497308
38.86480153,-77.01289933
38.86547683,-77.01345369
38.86497389,-77.01256567
38.92645034,-76.98100418
38.97572042,-77.02698583
38.97246891,-77.03128702
38.84849356,-76.97334865
38.92705741,-77.03274396
38.95685559,-77.01343333
38.90341152,-76.92324046
38.92303911,-77.01068086
38.89230101,-76.94027749
38.97722724,-77.0178404
38.92057943,-77.03973623
38.87772286,-76.98773818
38.92480488,-77.02289327
38.90261781,-76.93986674
38.91282263,-77.03817406
38.92215973,-77.04286488
38.90543491,-76.97259136
38.88552654,-77.02777362
38.95606433,-77.02662892
38.87822077,-76.98787247
38.89932722,-76.9805497
38.85706759,-76.98393349
38.8557062,-76.97261783
38.92396818,-77.03187302
38.8801137,-76.99523799
38.93885739,-77.02423716
38.86512933,-77.00074655
38.93130426,-76.99066037
38.91670854,-77.02903548
38.9062571,-77.00078191
38.86740184,-76.987418
38.90988536,-77.01055783
38.93104877,-77.02687538
38.85373222,-76.97031951
38.96041746,-77.00982204
38.93307367,-77.0305941
38.95653566,-77.02210023
38.88064155,-76.9874182
